Cab_App_Type,Source,Destination,Price,Availability,Cab_Type,,,,
ola,Marina Beach,T.nagar,325,1,Auto,,,,
ola,Marina Beach,T.nagar,241,2,bike,,,,
ola,Marina Beach,T.nagar,423,1,Mini,,,,
ola,Marina Beach,T.nagar,654,4,Prime sedan,,,,
Uber,Marina Beach,T.nagar,241,1,Auto,,,,
Uber,Marina Beach,T.nagar,181,2,bike,,,,
Uber,Marina Beach,T.nagar,481,3,Uber Go ,,,,
Uber,Marina Beach,T.nagar,452,2, Uber XL,,,,
Rapido,Marina Beach,T.nagar,139,1,Auto,,,,
Rapido,Marina Beach,T.nagar,62,2,Bike,,,,
Rapido,Marina Beach,T.nagar,160,5,cab,,,,
ola,chennai central,chennai airport,912,2,Auto,,,,
ola,chennai central,chennai airport,621,1,bike,,,,
ola,chennai central,chennai airport,1221,3,Mini,,,,
ola,chennai central,chennai airport,1453,2,Prime sedan,,,,
Uber,chennai central,chennai airport,625,1,Auto,,,,
Uber,chennai central,chennai airport,475,2,bike,,,,
Uber,chennai central,chennai airport,489,5,Uber Go ,,,,
Uber,chennai central,chennai airport,984,8, Uber XL,,,,
Rapido,chennai central,chennai airport,307,1,Auto,,,,
Rapido,chennai central,chennai airport,223,2,Bike,,,,
Rapido,chennai central,chennai airport,504,3,cab,,,,
ola,mylapore,velachery,482,1,Auto,,,, 
ola,mylapore,velachery,321,2,bike,,,,
ola,mylapore,velachery,617,1,Mini,,,,
ola,mylapore,velachery,879,6,Prime sedan,,,,
Uber,mylapore,velachery,362,1,Auto,,,,
Uber,mylapore,velachery,242,2,bike,,,,
Uber,mylapore,velachery,256,6,Uber Go ,,,,
Uber,mylapore,velachery,632,8, Uber XL,,,,
Rapido,mylapore,velachery,205,5,Auto,,,,
Rapido,mylapore,velachery,112,2,Bike,,,,
Rapido,mylapore,velachery,327,1,cab,,,,
ola,egmore,guindy,360,2,Auto,,,,
ola,egmore,guindy,240,3,bike,,,,
ola,egmore,guindy,480,1,Mini,,,,
ola,egmore,guindy,720,5,Prime sedan,,,,
Uber,egmore,guindy,305,2,Auto,,,,
Uber,egmore,guindy,182,1,bike,,,,
Uber,egmore,guindy,196,4,Uber Go ,,,,
Uber,egmore,guindy,542,6, Uber XL,,,,
Rapido,egmore,guindy,206,1,Auto,,,,
Rapido,egmore,guindy,114,1,Bike,,,,
Rapido,egmore,guindy,302,3,cab,,,,
ola,adyar,anna nagar,606,1,Auto,,,,
ola,adyar,anna nagar,360,2,bike,,,,
ola,adyar,anna nagar,720,5,Mini,,,,
ola,adyar,anna nagar,1084,6,Prime sedan,,,,
Uber,adyar,anna nagar,482,1,Auto,,,,
Uber,adyar,anna nagar,360,2,bike,,,,
Uber,adyar,anna nagar,368,1,Uber Go ,,,,
Uber,adyar,anna nagar,720,3, Uber XL,,,,
Rapido,adyar,anna nagar,230,2,Auto,,,,
Rapido,adyar,anna nagar,149,1,Bike,,,,
Rapido,adyar,anna nagar,365,2,cab,,,,
ola,besant nagar,thiruvanmiyur,323,1,Auto,,,,
ola,besant nagar,thiruvanmiyur,221,1,bike,,,,
ola,besant nagar,thiruvanmiyur,413,3,Mini,,,,
ola,besant nagar,thiruvanmiyur,632,5,Prime sedan,,,,
Uber,besant nagar,thiruvanmiyur,242,2,Auto,,,,
Uber,besant nagar,thiruvanmiyur,183,1,bike,,,,
Uber,besant nagar,thiruvanmiyur,196,6,Uber Go ,,,,
Uber,besant nagar,thiruvanmiyur,420,7, Uber XL,,,,
Rapido,besant nagar,thiruvanmiyur,87,1,Auto,,,,
Rapido,besant nagar,thiruvanmiyur,52,1,Bike,,,,
Rapido,besant nagar,thiruvanmiyur,145,3,cab,,,,
ola,saidapet,coimbatore,481,1,Auto,,,,
ola,saidapet,coimbatore,321,2,bike,,,,
ola,saidapet,coimbatore,621,1,Mini,,,,
ola,saidapet,coimbatore,901,4,Prime sedan,,,,
Uber,saidapet,coimbatore,426,1,Auto,,,,
Uber,saidapet,coimbatore,320,2,bike,,,,
Uber,saidapet,coimbatore,350,3,Uber Go ,,,,
Uber,saidapet,coimbatore,660,2, Uber XL,,,,
Rapido,saidapet,coimbatore,380,1,Auto,,,,
Rapido,saidapet,coimbatore,312,2,Bike,,,,
